RUN	viade_es5b.PruebaAñadirAmigo	pruebaan-adiramigo	1587660754745	 	3.3.1
REQUEST	6		PruebaAñadirAmigo_12	1587660785405	1587660785416	OK	 
REQUEST	6		PruebaAñadirAmigo_13	1587660785417	1587660785454	OK	 
REQUEST	6		PruebaAñadirAmigo_14	1587660785455	1587660785459	OK	 
REQUEST	6		PruebaAñadirAmigo_15	1587660785644	1587660785680	OK	 
REQUEST	25		PruebaAñadirAmigo_4	1587660786105	1587660786109	OK	 
REQUEST	25		PruebaAñadirAmigo_5	1587660786110	1587660786115	OK	 
REQUEST	25		PruebaAñadirAmigo_6	1587660786116	1587660786172	OK	 
REQUEST	25		PruebaAñadirAmigo_7	1587660786173	1587660786179	OK	 
REQUEST	15		PruebaAñadirAmigo_8	1587660786173	1587660786236	OK	 
REQUEST	15		PruebaAñadirAmigo_9	1587660786237	1587660786243	OK	 
REQUEST	15		PruebaAñadirAmigo_10	1587660786244	1587660786252	OK	 
REQUEST	15		PruebaAñadirAmigo_11	1587660786362	1587660786421	OK	 
REQUEST	7		PruebaAñadirAmigo_12	1587660786383	1587660786424	OK	 
REQUEST	7		PruebaAñadirAmigo_13	1587660786425	1587660786481	OK	 
REQUEST	7		PruebaAñadirAmigo_14	1587660786483	1587660786490	OK	 
REQUEST	7		PruebaAñadirAmigo_15	1587660786677	1587660786728	OK	 
USER	PruebaAñadirAmigo	26	START	1587660786861	1587660786861
REQUEST	26		PruebaAñadirAmigo_0	1587660786862	1587660786915	OK	 
REQUEST	26		PruebaAñadirAmigo_1	1587660786916	1587660786921	OK	 
REQUEST	26		PruebaAñadirAmigo_2	1587660786922	1587660786926	OK	 
REQUEST	26		PruebaAñadirAmigo_3	1587660787092	1587660787129	OK	 
REQUEST	8		PruebaAñadirAmigo_12	1587660787406	1587660787419	OK	 
REQUEST	8		PruebaAñadirAmigo_13	1587660787419	1587660787461	OK	 
REQUEST	8		PruebaAñadirAmigo_14	1587660787462	1587660787467	OK	 
REQUEST	8		PruebaAñadirAmigo_15	1587660787652	1587660787695	OK	 
USER	PruebaAñadirAmigo	27	START	1587660787861	1587660787861
REQUEST	27		PruebaAñadirAmigo_0	1587660787862	1587660787920	OK	 
REQUEST	27		PruebaAñadirAmigo_1	1587660787920	1587660787925	OK	 
REQUEST	27		PruebaAñadirAmigo_2	1587660787926	1587660787934	OK	 
REQUEST	27		PruebaAñadirAmigo_3	1587660788091	1587660788153	OK	 
REQUEST	26		PruebaAñadirAmigo_4	1587660788123	1587660788157	OK	 
REQUEST	26		PruebaAñadirAmigo_5	1587660788158	1587660788162	OK	 
REQUEST	26		PruebaAñadirAmigo_6	1587660788163	1587660788206	OK	 
REQUEST	16		PruebaAñadirAmigo_8	1587660788191	1587660788250	OK	 
REQUEST	26		PruebaAñadirAmigo_7	1587660788207	1587660788253	OK	 
REQUEST	16		PruebaAñadirAmigo_9	1587660788251	1587660788257	OK	 
REQUEST	16		PruebaAñadirAmigo_10	1587660788257	1587660788261	OK	 
REQUEST	16		PruebaAñadirAmigo_11	1587660788385	1587660788430	OK	 
REQUEST	9		PruebaAñadirAmigo_12	1587660788406	1587660788433	OK	 
REQUEST	9		PruebaAñadirAmigo_13	1587660788434	1587660788467	OK	 
REQUEST	9		PruebaAñadirAmigo_14	1587660788468	1587660788474	OK	 
REQUEST	9		PruebaAñadirAmigo_15	1587660788664	1587660788727	OK	 
USER	PruebaAñadirAmigo	28	START	1587660788855	1587660788855
REQUEST	28		PruebaAñadirAmigo_0	1587660788856	1587660788912	OK	 
REQUEST	1		PruebaAñadirAmigo_16	1587660788855	1587660788920	OK	 
REQUEST	28		PruebaAñadirAmigo_1	1587660788914	1587660788923	OK	 
REQUEST	1		PruebaAñadirAmigo_17	1587660788921	1587660788966	OK	 
REQUEST	28		PruebaAñadirAmigo_2	1587660788924	1587660788978	OK	 
REQUEST	1		PruebaAñadirAmigo_18	1587660788967	1587660788980	OK	 
